participant_number,condition,menu_order,selection_time,correctly_predicted,error_in_trial
0,control,0,4073,True,False
0,control,0,2346,True,False
0,control,0,1072,True,False
0,control,0,1272,False,False
0,control,0,1904,True,False
0,control,0,3474,True,False
0,control,0,871,True,False
0,control,0,881,True,False
0,control,0,1896,True,False
0,control,0,1408,False,False
0,control,0,1285,True,False
0,control,0,1376,True,False
0,control,0,2624,False,False
0,control,0,968,True,False
0,control,0,656,True,False
0,control,0,1496,True,False
0,control,0,4634,True,False
0,control,0,1080,True,False
0,control,0,1456,False,False
0,control,0,2085,True,False
0,control,0,1345,True,False
0,control,0,1224,True,False
0,control,0,3214,True,False
0,control,0,1586,True,False
0,control,0,1562,False,False
0,control,0,754,True,False
0,control,0,1002,False,False
0,control,0,968,True,False
0,control,0,3240,True,False
0,control,0,1574,False,False
0,control,0,880,True,False
0,control,0,1032,True,False
0,control,0,1224,False,False
0,control,0,2708,True,False
0,control,0,1454,True,False
0,control,0,4999,False,False
0,control,0,1346,True,False
0,control,0,3632,True,False
0,control,0,1144,True,False
0,control,0,2344,True,False
0,control,0,920,True,False
0,control,0,2096,True,False
0,control,0,1096,True,False
0,control,0,946,True,False
0,control,0,3474,True,False
0,control,0,2027,True,False
0,control,0,3472,True,False
0,control,0,1760,True,False
0,control,0,1474,False,False
0,control,0,2340,True,False
0,control,0,3170,False,False
0,control,0,2040,False,False
0,control,0,2256,True,False
0,control,0,1216,True,False
0,control,0,2674,True,False
0,control,0,1672,True,False
0,control,0,2616,True,False
0,control,0,1417,True,False
0,control,0,2044,True,False
0,control,0,1351,True,False
0,control,0,1768,True,False
0,control,0,4202,True,False
0,control,0,1474,True,False
0,control,0,1802,True,False
0,control,0,1248,True,False
0,control,0,2410,True,False
0,control,0,1935,True,False
0,control,0,1520,True,False
0,control,0,2023,False,False
0,control,0,2429,True,False
0,control,0,3077,False,False
0,control,0,1815,True,False
0,control,0,1582,True,False
0,control,0,1120,False,False
0,control,0,2538,True,False
0,control,0,2826,True,False
0,control,0,1800,True,False
0,control,0,778,True,False
0,control,0,1496,True,False
0,control,0,2312,True,False
0,control,0,1224,True,False
0,control,0,2812,False,False
0,control,0,1626,True,False
0,control,0,1041,True,False
0,control,0,1984,False,False
0,control,0,1930,True,False
0,control,0,1984,True,False
0,control,0,2634,False,False
0,control,0,1498,True,False
0,control,0,1456,True,False
0,ephemeral,0,2030,True,False
0,ephemeral,0,906,True,False
0,ephemeral,0,922,True,False
0,ephemeral,0,2188,False,False
0,ephemeral,0,1547,True,False
0,ephemeral,0,1745,True,False
0,ephemeral,0,1660,True,False
0,ephemeral,0,1642,True,False
0,ephemeral,0,3414,True,False
0,ephemeral,0,1882,False,False
0,ephemeral,0,1282,True,False
0,ephemeral,0,2370,True,False
0,ephemeral,0,2080,False,False
0,ephemeral,0,1692,True,False
0,ephemeral,0,640,True,False
0,ephemeral,0,1234,True,False
0,ephemeral,0,1984,True,False
0,ephemeral,0,840,True,False
0,ephemeral,0,2391,False,False
0,ephemeral,0,1120,True,False
0,ephemeral,0,832,True,False
0,ephemeral,0,904,True,False
0,ephemeral,0,2074,True,False
0,ephemeral,0,1354,True,False
0,ephemeral,0,2414,False,False
0,ephemeral,0,730,True,False
0,ephemeral,0,1478,False,False
0,ephemeral,0,3068,True,False
0,ephemeral,0,1530,True,False
0,ephemeral,0,1474,False,False
0,ephemeral,0,1290,True,False
0,ephemeral,0,1682,True,False
0,ephemeral,0,1266,False,False
0,ephemeral,0,3406,True,False
